"Region Num","Structure Num","Inspection Date","Span Num","GROUP","Element","Element Num","Position","Material","Element Type","Misc","Data Type","%A","%B","%C","%D","Behaviour","Comments","Inspection ID","Element ID"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 6","Category 20",,"South","Wood-Steel","Type 28","Non","Demo Data","89","10","1","0","4","Nul","114","441"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 11","Category 6",,,,"Type 5",,"Demo Data","30","20","20","30","2","Nul","114","442"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 1","Category 2",,"West",,,,"Demo Data",,,,,"3","Nul","114","443"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 1","Category 2",,"East",,,,"Demo Data",,,,,"3","Nul","114","444"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 1","Category 3",,"West","Wood-Steel","Type 26",,"Demo Data","100","0","0","0","4","Nul","114","445"
"23","00001",2014-6-9 0:00:00,"1","Sub-group 1","Category 3",,"East","Wood-Steel","Type 26",,"Demo Data","100","0","0","0","4","Nul","114","446"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 4","Category 11",,,,,,"Demo Data",,,,,"4","Nul","115","416"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 4","Category 12",,"West",,"Type 13",,"Demo Data",,,,,"3","Nul","115","417"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 4","Category 12",,"East",,"Type 13",,"Demo Data",,,,,"4","Nul","115","418"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 4","Category 10",,"West",,"Type 24",,"Demo Data",,,,,"3","Nul","115","419"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 4","Category 10",,"East",,"Type 24",,"Demo Data",,,,,"4","Nul","115","420"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 5","Category 13","1",,,"Type 10","Roc","Demo Data",,,,,"4","Nul","115","421"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 5","Category 13","2",,,"Type 10","Roc","Demo Data",,,,,"1","Nul","115","422"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 5","Category 14","1",,"Wood",,,"Demo Data","63","25","10","2","4","Nul","115","424"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 5","Category 14","2",,"Wood",,,"Demo Data","48","35","15","2","3","Nul","115","423"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 5","Category 18","1",,"Wood",,,"Demo Data",,,,,"4","Nul","115","426"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 5","Category 18","2",,"Wood",,,"Demo Data",,,,,"3","Nul","115","425"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 5","Category 16","1",,"Wood",,,"Demo Data","60","30","10","0","3","Nul","115","583"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 5","Category 16","2",,"Wood",,,"Demo Data","60","10","30","0","4","Nul","115","584"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 9","Category 28",,,"Wood",,,"Demo Data","85","15","0","0","3","Nul","115","427"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 9","Category 27",,,,"Type 20",,"Demo Data","85","15","0","0","4","Nul","115","428"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 10","Category 4","1",,"Steel","Type 22",,"Demo Data","85","15","0","0","1","Nul","115","429"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 10","Category 4","2",,"Steel","Type 22",,"Demo Data","60","15","25","0","1","Nul","115","430"
"23","00001",2016-11-23 0:00:00,"1","Sub-group 10","Category 4","3",,"Steel","Type 22",,"Demo Data","45","15","25","15","1","Nul","115","436"
